Process_ID,Process_Name,Department,Task_Name,Duration_Hours,Cost_USD,Responsible,Status,Start_Date,End_Date,Error_Rate
113,Invoice Processing,HR,Verify Invoice,6,60,Bob Brown,Pending,2023-01-16,,0.6526739841411466
462,Employee Recruitment,Finance,Verify Invoice,6,468,Alex Black,Pending,2023-04-14,,1.3306596191817643
437,Employee Recruitment,Sales,Coding,5,145,Jane Smith,Pending,2023-10-20,,3.7549438722560122
272,Product Launch,Marketing,Product Design,20,1460,Alice Green,Pending,2023-04-10,,8.616954670040945
190,Invoice Processing,IT,Review Documents,14,1092,Alice White,Pending,2023-09-11,,5.803247570458819
532,Customer Onboarding,Marketing,Requirements Gathering,14,378,John Brown,In Progress,2023-07-26,,2.4338690124908235
133,Invoice Processing,IT,Receive Invoice,4,372,Jane White,Pending,2023-11-07,,9.610712357230092
585,Invoice Processing,IT,Screen Candidates,16,288,Alice Doe,In Progress,2023-11-02,,5.585069661225553
448,Employee Recruitment,Finance,Product Design,19,1121,John Doe,Pending,2023-02-10,,7.399655107941413
429,Product Launch,HR,Review Documents,4,208,Alice Green,In Progress,2023-06-03,,3.095733450332224
521,Employee Recruitment,Sales,Approve Invoice,12,1140,Alice Black,In Progress,2023-03-07,,2.237922383926697
593,Software Development,Marketing,Review Documents,1,57,John Smith,In Progress,2023-05-14,,0.32444494643902866
511,Product Launch,Marketing,Conduct Interviews,3,207,Charlie Brown,In Progress,2023-12-13,,5.467178372621366
290,Software Development,Marketing,Market Research,3,231,Alice Brown,Pending,2023-10-28,,5.862777916252298
158,Customer Onboarding,HR,Market Research,2,112,John Green,In Progress,2023-04-16,,0.8199724569044764
409,Invoice Processing,HR,Review Documents,19,1140,Alice White,In Progress,2023-03-31,,3.6682532224561406
197,Product Launch,IT,Job Posting,17,306,Alex Smith,Pending,2023-08-28,,7.468851285289534
31,Software Development,Finance,Requirements Gathering,20,1780,Alice White,In Progress,2023-02-10,,8.21614156896858
275,Employee Recruitment,HR,Collect Documents,5,275,Alice Doe,Completed,2023-02-22,2023-02-22 05:00:00,9.409383647994304
427,Invoice Processing,Marketing,Product Design,13,364,John Black,Pending,2023-01-21,,0.3702845630700813
643,Employee Recruitment,IT,Requirements Gathering,10,430,Jane Brown,In Progress,2023-05-16,,0.5817066196252341
204,Employee Recruitment,Sales,Initial Contact,20,1620,Bob Green,Pending,2023-10-13,,1.0373331729336799
25,Customer Onboarding,Sales,Product Design,4,108,Jane Black,Completed,2023-10-28,2023-10-28 04:00:00,0.8829839668776684
692,Customer Onboarding,Sales,Product Design,11,1100,Alice Black,Pending,2023-01-07,,1.032470700071314
375,Customer Onboarding,Finance,Receive Invoice,6,72,Alice Green,In Progress,2023-05-09,,8.877827216198046
829,Employee Recruitment,Sales,Screen Candidates,13,650,John Smith,In Progress,2023-05-07,,9.952242236176028
720,Software Development,Sales,Job Posting,4,124,Charlie White,Completed,2023-01-22,2023-01-22 04:00:00,8.877454072969499
512,Invoice Processing,Sales,Launch Campaign,15,720,Charlie Smith,In Progress,2023-08-04,,7.26425391825189
394,Customer Onboarding,HR,Product Design,12,888,Charlie Green,In Progress,2023-11-01,,9.853399271832735
579,Invoice Processing,Marketing,Initial Contact,13,273,Jane Green,In Progress,2023-01-18,,7.155565482541615
877,Product Launch,HR,Initial Contact,4,208,John Black,Pending,2023-07-26,,8.572509883264985
665,Customer Onboarding,HR,Launch Campaign,20,1200,Alice Green,Pending,2023-03-08,,0.870506450664027
977,Invoice Processing,HR,Market Research,6,336,Alice Black,Completed,2023-08-05,2023-08-05 06:00:00,9.050052224594294
307,Employee Recruitment,Marketing,Verify Invoice,17,1547,Jane Doe,Completed,2023-11-02,2023-11-02 17:00:00,4.168798722847073
698,Software Development,HR,Coding,6,252,Bob White,Completed,2023-09-09,2023-09-09 06:00:00,3.217229096029831
823,Product Launch,Sales,Collect Documents,8,736,Alex Brown,Pending,2023-02-09,,0.8457283846447128
596,Product Launch,Sales,Coding,11,880,Charlie Smith,Pending,2023-01-15,,5.50882242338271
437,Product Launch,Finance,Verify Invoice,15,1140,Alex Brown,Completed,2023-12-08,2023-12-08 15:00:00,5.073352487665407
219,Customer Onboarding,Sales,Initial Contact,15,540,Alice Smith,Pending,2023-10-18,,1.8350639581826422
888,Product Launch,Marketing,Review Documents,2,106,John Doe,Pending,2023-01-19,,8.336928779530586
924,Invoice Processing,Marketing,Collect Documents,14,938,Jane Green,Pending,2023-02-05,,3.3703270897199724
157,Employee Recruitment,IT,Conduct Interviews,11,616,John Doe,Completed,2023-06-28,2023-06-28 11:00:00,9.265018202919117
877,Invoice Processing,Finance,Coding,9,189,Alice Black,Pending,2023-08-02,,2.8116325901215644
272,Customer Onboarding,IT,Job Posting,4,128,Alice Doe,In Progress,2023-10-06,,5.556341569217187
571,Product Launch,Marketing,Requirements Gathering,12,432,Alice Doe,Completed,2023-06-19,2023-06-19 12:00:00,2.6394982027719083
632,Software Development,IT,Launch Campaign,10,510,Jane Black,In Progress,2023-04-05,,9.623226104109293
768,Customer Onboarding,Marketing,Initial Contact,9,441,Charlie Doe,Completed,2023-08-06,2023-08-06 09:00:00,6.530997917184243
394,Customer Onboarding,IT,Requirements Gathering,14,616,John Green,Pending,2023-07-06,,2.779802016241726
572,Product Launch,Sales,Launch Campaign,3,216,Bob Smith,Completed,2023-12-14,2023-12-14 03:00:00,6.33968594684846
80,Employee Recruitment,Sales,Collect Documents,15,255,Alex Doe,In Progress,2023-01-03,,7.705256233901967
810,Employee Recruitment,Marketing,Market Research,7,539,Alice White,Pending,2023-04-06,,0.8934674210471816
863,Invoice Processing,HR,Conduct Interviews,3,234,John Doe,Completed,2023-03-14,2023-03-14 03:00:00,5.775897393557331
266,Product Launch,IT,Receive Invoice,3,135,Charlie Black,In Progress,2023-04-11,,0.820272946238455
539,Invoice Processing,Sales,Product Design,13,507,Bob Black,In Progress,2023-06-07,,1.4320495925456522
581,Customer Onboarding,Finance,Initial Contact,8,264,Charlie White,Pending,2023-03-08,,7.142185922826267
890,Product Launch,Finance,Initial Contact,7,315,Bob Doe,Pending,2023-08-16,,5.325625387648495
943,Software Development,Finance,Collect Documents,1,89,Alex Black,Completed,2023-01-02,2023-01-02 01:00:00,5.114723712782099
56,Employee Recruitment,Finance,Initial Contact,16,224,Alex Black,Completed,2023-03-07,2023-03-07 16:00:00,6.495259764924958
295,Product Launch,Finance,Screen Candidates,7,161,Jane Brown,In Progress,2023-07-21,,5.320410805266452
512,Invoice Processing,Marketing,Review Documents,20,1860,Alex Brown,Completed,2023-06-10,2023-06-10 20:00:00,9.745371884482376
740,Employee Recruitment,IT,Market Research,9,855,Bob Brown,Pending,2023-05-17,,6.403107654575029
323,Employee Recruitment,Finance,Job Posting,20,1100,Bob White,Completed,2023-04-22,2023-04-22 20:00:00,2.4916350190325023
208,Invoice Processing,Finance,Coding,18,1692,John Smith,Completed,2023-11-01,2023-11-01 18:00:00,1.508125423183787
834,Customer Onboarding,HR,Launch Campaign,18,594,Bob Brown,In Progress,2023-02-04,,9.316243864479897
768,Invoice Processing,Sales,Market Research,20,920,Alice Brown,Pending,2023-11-16,,6.220028831732575
328,Customer Onboarding,Finance,Coding,13,156,Bob Brown,Completed,2023-02-18,2023-02-18 13:00:00,1.083382807676948
592,Software Development,HR,Market Research,10,860,Charlie Black,Pending,2023-12-19,,7.014100754721446
43,Customer Onboarding,Finance,Collect Documents,17,1564,John Doe,Pending,2023-04-08,,8.516106261497129
287,Employee Recruitment,Sales,Review Documents,2,118,Charlie Black,Pending,2023-03-11,,7.92167471277354
699,Employee Recruitment,Sales,Coding,5,120,John Smith,Completed,2023-06-04,2023-06-04 05:00:00,9.432906399950786
150,Invoice Processing,Sales,Conduct Interviews,4,136,Charlie Green,Pending,2023-08-02,,2.1262985998752324
632,Invoice Processing,Finance,Product Design,16,1104,Charlie Doe,In Progress,2023-08-20,,9.247305038672986
260,Software Development,IT,Testing,7,490,Jane Green,In Progress,2023-09-20,,3.400842758008673
493,Customer Onboarding,IT,Requirements Gathering,18,918,Bob Black,In Progress,2023-06-08,,1.203299914780761
22,Product Launch,HR,Testing,12,612,John Doe,In Progress,2023-03-16,,7.521127025887488
817,Invoice Processing,HR,Job Posting,4,232,John Green,Completed,2023-12-11,2023-12-11 04:00:00,7.754918071673503
159,Product Launch,Marketing,Testing,9,180,Charlie Smith,In Progress,2023-08-08,,5.881903010412715
466,Employee Recruitment,IT,Approve Invoice,9,522,John Black,Completed,2023-02-21,2023-02-21 09:00:00,5.199824879337487
405,Customer Onboarding,IT,Coding,2,158,Charlie Brown,Completed,2023-01-30,2023-01-30 02:00:00,0.03216099378551829
287,Customer Onboarding,Marketing,Initial Contact,7,154,Charlie Smith,Pending,2023-09-16,,9.75443355731189
329,Software Development,IT,Market Research,5,485,Alex Doe,In Progress,2023-01-29,,2.9416136640312485
514,Customer Onboarding,Marketing,Review Documents,13,793,Alice Doe,Pending,2023-12-19,,2.6016310887837237
644,Product Launch,HR,Collect Documents,6,432,Jane Brown,Pending,2023-01-31,,6.016286053202001
438,Customer Onboarding,Marketing,Collect Documents,20,780,John Green,Completed,2023-12-16,2023-12-16 20:00:00,0.07824132163348874
582,Software Development,Finance,Screen Candidates,14,378,Alice White,Pending,2023-04-02,,7.31438633193849
887,Software Development,Marketing,Initial Contact,6,90,Jane Green,In Progress,2023-06-30,,6.5024167384409495
8,Invoice Processing,HR,Review Documents,17,850,John Brown,Pending,2023-04-23,,4.261881572020601
60,Invoice Processing,Marketing,Job Posting,5,270,Jane Doe,In Progress,2023-06-14,,6.196857047647918
653,Product Launch,Finance,Collect Documents,15,150,Jane Black,In Progress,2023-07-29,,9.736364393931892
802,Software Development,IT,Testing,2,28,Alice Smith,In Progress,2023-03-17,,6.871208006112667
409,Product Launch,Finance,Collect Documents,19,1843,Bob Brown,Pending,2023-12-06,,7.82735092682162
407,Software Development,Marketing,Coding,1,16,Alex Black,In Progress,2023-06-24,,1.222189078546776
667,Product Launch,HR,Approve Invoice,13,1248,Alex Doe,In Progress,2023-11-30,,8.405939500231774
18,Customer Onboarding,HR,Coding,4,152,Jane Green,Completed,2023-05-29,2023-05-29 04:00:00,0.7467979273822689
523,Invoice Processing,Finance,Conduct Interviews,19,418,Bob Brown,Completed,2023-06-01,2023-06-01 19:00:00,0.31815810755432383
319,Software Development,Marketing,Requirements Gathering,4,168,Bob Smith,Pending,2023-03-27,,8.025674973493317
927,Invoice Processing,Sales,Market Research,17,697,Jane White,Completed,2023-06-03,2023-06-03 17:00:00,2.36384458316154
317,Invoice Processing,Marketing,Collect Documents,13,130,Jane Brown,Completed,2023-01-19,2023-01-19 13:00:00,6.809906721275397
38,Invoice Processing,Marketing,Coding,9,405,John Smith,Completed,2023-01-18,2023-01-18 09:00:00,0.7289026341473581
880,Employee Recruitment,Sales,Receive Invoice,7,91,Charlie Green,In Progress,2023-07-10,,4.493681406047781
450,Product Launch,Sales,Review Documents,6,402,Charlie Smith,In Progress,2023-01-24,,1.2836561282820769
504,Invoice Processing,Sales,Screen Candidates,10,180,Alice White,In Progress,2023-07-02,,3.309444349952888
833,Product Launch,Finance,Job Posting,6,72,Alex Brown,Completed,2023-12-12,2023-12-12 06:00:00,4.7343160429998035
875,Invoice Processing,IT,Collect Documents,12,900,John Black,In Progress,2023-05-08,,6.227518744508185
852,Invoice Processing,IT,Launch Campaign,11,660,Bob Smith,Completed,2023-07-13,2023-07-13 11:00:00,0.9329583865134239
287,Employee Recruitment,Finance,Initial Contact,11,781,Alice Smith,In Progress,2023-08-04,,4.322597200544076
217,Employee Recruitment,HR,Market Research,11,627,Alice Smith,In Progress,2023-02-10,,8.588821565783684
854,Product Launch,Sales,Testing,1,90,John Smith,In Progress,2023-06-18,,7.1209196969404225
492,Employee Recruitment,HR,Review Documents,13,247,Jane Doe,In Progress,2023-11-11,,3.0985370555928746
350,Employee Recruitment,IT,Coding,9,828,Charlie Black,Completed,2023-11-06,2023-11-06 09:00:00,0.455062312493546
476,Invoice Processing,HR,Requirements Gathering,5,500,Alex White,Pending,2023-08-30,,3.3875426910393625
912,Software Development,Finance,Testing,1,32,Bob Green,Pending,2023-01-21,,4.167058908163863
44,Employee Recruitment,Finance,Verify Invoice,8,168,Alice Black,Completed,2023-08-25,2023-08-25 08:00:00,8.871444111732062
475,Software Development,Marketing,Conduct Interviews,13,845,John White,In Progress,2023-03-30,,3.8187051798916483
759,Software Development,HR,Market Research,11,990,Bob Green,Completed,2023-05-12,2023-05-12 11:00:00,8.533726014062456
683,Invoice Processing,HR,Approve Invoice,11,759,Jane Doe,Pending,2023-10-14,,8.451957844740319
343,Customer Onboarding,HR,Review Documents,3,135,Charlie Brown,In Progress,2023-09-17,,2.614037584142647
957,Invoice Processing,HR,Launch Campaign,4,100,Alex Brown,In Progress,2023-03-16,,6.716845120590164
683,Invoice Processing,Sales,Approve Invoice,17,697,Alex Brown,Pending,2023-07-23,,3.7698415096058513
190,Customer Onboarding,Sales,Approve Invoice,16,576,Bob Brown,Pending,2023-07-25,,2.4111059938341937
273,Product Launch,HR,Receive Invoice,13,1157,Jane Smith,In Progress,2023-07-13,,7.711496165791205
364,Invoice Processing,HR,Requirements Gathering,18,1044,Charlie White,Completed,2023-11-30,2023-11-30 18:00:00,2.9907791449674983
125,Customer Onboarding,IT,Product Design,14,910,Jane Black,In Progress,2023-05-15,,8.032416050493907
147,Employee Recruitment,Finance,Approve Invoice,15,690,Alex Brown,Completed,2023-12-21,2023-12-21 15:00:00,8.586479788722862
297,Customer Onboarding,IT,Requirements Gathering,17,714,John Black,Completed,2023-12-25,2023-12-25 17:00:00,5.077049372419804
92,Invoice Processing,Sales,Market Research,11,1100,Alex White,Pending,2023-01-17,,1.7650035428436706
422,Customer Onboarding,HR,Review Documents,7,287,Alice Brown,Pending,2023-11-26,,1.2257198198964303
546,Product Launch,Sales,Receive Invoice,16,544,Charlie White,In Progress,2023-01-31,,5.0784903765030585
937,Employee Recruitment,HR,Collect Documents,14,154,Alex White,Pending,2023-03-30,,6.019753517258203
314,Product Launch,IT,Initial Contact,13,702,Charlie White,Completed,2023-02-03,2023-02-03 13:00:00,4.693016845489395
420,Customer Onboarding,Sales,Review Documents,19,1577,Alex Black,Pending,2023-11-30,,1.2265042095383372
118,Product Launch,HR,Requirements Gathering,8,664,Jane Smith,Completed,2023-03-12,2023-03-12 08:00:00,6.457557619166588
669,Software Development,Finance,Collect Documents,10,320,Alice White,Pending,2023-10-12,,8.937727009261792
854,Invoice Processing,Sales,Launch Campaign,14,714,Jane Smith,Completed,2023-10-29,2023-10-29 14:00:00,5.607341363654244
51,Software Development,HR,Market Research,5,280,John Black,Pending,2023-10-10,,0.8847485552079792
346,Invoice Processing,IT,Screen Candidates,19,1026,Alex Green,Completed,2023-10-03,2023-10-03 19:00:00,4.877775220433863
252,Customer Onboarding,Finance,Approve Invoice,5,475,Jane Green,Completed,2023-01-06,2023-01-06 05:00:00,8.255070046710209
995,Product Launch,Finance,Product Design,1,97,Charlie White,Completed,2023-01-04,2023-01-04 01:00:00,0.8070613505175195
808,Software Development,Finance,Approve Invoice,7,616,Bob Doe,Completed,2023-01-26,2023-01-26 07:00:00,9.797506332846286
714,Employee Recruitment,Marketing,Job Posting,9,801,Bob Brown,In Progress,2023-10-07,,2.9662553241617684
109,Invoice Processing,Sales,Launch Campaign,5,200,Bob Doe,Pending,2023-06-28,,7.298656822287572
278,Software Development,Sales,Product Design,12,480,Alex Black,Pending,2023-09-03,,3.005019236484209
628,Customer Onboarding,Marketing,Verify Invoice,6,132,Jane Green,Completed,2023-09-07,2023-09-07 06:00:00,2.962795507627225
900,Software Development,IT,Testing,4,156,Alex White,In Progress,2023-01-11,,1.0980547056343104
333,Product Launch,Finance,Coding,3,168,John Doe,Completed,2023-03-30,2023-03-30 03:00:00,2.159468827769558
834,Customer Onboarding,Sales,Testing,11,770,Alex Brown,Completed,2023-08-02,2023-08-02 11:00:00,0.9217275138629266
926,Invoice Processing,Marketing,Testing,13,442,Alice Black,In Progress,2023-10-24,,9.103825480028316
749,Customer Onboarding,Marketing,Initial Contact,14,280,Bob Black,In Progress,2023-05-31,,0.845876595848648
318,Employee Recruitment,Marketing,Product Design,9,450,Alex Green,Completed,2023-07-15,2023-07-15 09:00:00,0.2692898163427293
978,Invoice Processing,IT,Approve Invoice,13,1092,John Smith,Completed,2023-05-18,2023-05-18 13:00:00,6.1936244358843275
203,Software Development,HR,Approve Invoice,11,1023,Alex White,In Progress,2023-04-10,,6.4305925139208355
692,Customer Onboarding,Marketing,Screen Candidates,2,38,Alex Green,Pending,2023-07-09,,8.163263773987367
253,Invoice Processing,IT,Coding,6,102,Alex Black,Completed,2023-06-01,2023-06-01 06:00:00,0.025363738078990616
399,Software Development,IT,Testing,8,88,Alex Doe,Pending,2023-02-28,,5.861907279129293
761,Employee Recruitment,HR,Review Documents,9,882,John Brown,Pending,2023-12-11,,8.7233360396824
208,Product Launch,Marketing,Testing,7,581,John Smith,Pending,2023-03-29,,8.521550459438817
527,Product Launch,IT,Job Posting,1,35,Bob Doe,Pending,2023-07-28,,4.928624926783737
789,Employee Recruitment,IT,Market Research,18,774,Jane Smith,Completed,2023-07-19,2023-07-19 18:00:00,7.929957162801367
601,Product Launch,Sales,Product Design,18,216,Bob Black,In Progress,2023-05-07,,2.461088112569346
458,Employee Recruitment,IT,Market Research,19,1007,John Black,In Progress,2023-07-03,,9.906022348634277
985,Product Launch,Finance,Initial Contact,15,1245,John Black,In Progress,2023-01-13,,8.765983044790392
723,Employee Recruitment,Sales,Market Research,3,102,Bob Black,In Progress,2023-10-29,,6.2038972367552825
453,Customer Onboarding,Finance,Coding,13,585,John White,Completed,2023-05-09,2023-05-09 13:00:00,0.8837008148955594
86,Product Launch,HR,Job Posting,12,192,Jane Doe,Pending,2023-02-16,,7.912446177947274
748,Customer Onboarding,Sales,Approve Invoice,16,1296,Bob Black,Completed,2023-03-29,2023-03-29 16:00:00,5.238269926347915
1,Product Launch,IT,Conduct Interviews,9,360,Jane Doe,Completed,2023-09-15,2023-09-15 09:00:00,4.131545726181517
996,Product Launch,IT,Initial Contact,7,637,Bob White,In Progress,2023-04-23,,0.6376949935726728
515,Customer Onboarding,Marketing,Launch Campaign,13,208,Bob Green,In Progress,2023-07-01,,5.146866758981922
147,Customer Onboarding,Sales,Job Posting,4,64,Alex Brown,Pending,2023-05-14,,4.030701510063524
613,Product Launch,HR,Requirements Gathering,10,880,John Smith,In Progress,2023-03-24,,7.9582800988309135
933,Invoice Processing,IT,Product Design,12,600,John Doe,Pending,2023-03-19,,6.023980275558301
518,Software Development,Finance,Screen Candidates,5,315,Alex Green,In Progress,2023-04-11,,9.122849559072625
323,Software Development,HR,Receive Invoice,20,1340,Jane Green,Completed,2023-12-01,2023-12-01 20:00:00,3.8654717515823753
487,Employee Recruitment,HR,Collect Documents,17,1207,Alice Brown,In Progress,2023-06-26,,1.6622444448748808
218,Invoice Processing,IT,Approve Invoice,4,184,Charlie Doe,Completed,2023-07-06,2023-07-06 04:00:00,8.016365968334702
39,Software Development,HR,Requirements Gathering,20,1920,Bob Smith,In Progress,2023-07-13,,3.0302511057694117
70,Invoice Processing,IT,Collect Documents,13,169,Alice Doe,Pending,2023-08-26,,4.68829640297281
794,Employee Recruitment,Sales,Approve Invoice,1,25,Alice White,Completed,2023-02-17,2023-02-17 01:00:00,8.990284191126982
254,Software Development,Marketing,Collect Documents,10,560,Jane Green,Completed,2023-11-11,2023-11-11 10:00:00,6.751744468465118
685,Product Launch,Finance,Initial Contact,6,240,Alex Green,Pending,2023-09-15,,5.179743154157608
896,Customer Onboarding,Finance,Job Posting,7,700,Alex Doe,In Progress,2023-03-07,,3.4727698193989665
26,Invoice Processing,Sales,Screen Candidates,3,249,Charlie Brown,Pending,2023-03-28,,1.6767187566740815
216,Employee Recruitment,Finance,Job Posting,6,114,Charlie Green,In Progress,2023-05-21,,6.78259182477814
303,Invoice Processing,HR,Coding,6,492,Jane Doe,Pending,2023-10-02,,2.855567409752214
191,Invoice Processing,Sales,Testing,1,90,Charlie White,Completed,2023-07-08,2023-07-08 01:00:00,9.87792445549131
849,Customer Onboarding,Finance,Receive Invoice,14,798,Charlie Green,Pending,2023-11-18,,0.6320518305911016
512,Product Launch,IT,Collect Documents,17,935,Alice White,Completed,2023-09-06,2023-09-06 17:00:00,2.2212300709456945
928,Product Launch,HR,Market Research,19,399,John Smith,Pending,2023-01-12,,8.959756035932141
467,Employee Recruitment,Finance,Job Posting,12,744,Alice Doe,Completed,2023-02-06,2023-02-06 12:00:00,8.91249006983808
804,Customer Onboarding,Sales,Job Posting,2,90,Bob Black,Pending,2023-09-19,,4.008148118318742
193,Software Development,IT,Collect Documents,14,938,Charlie Green,Pending,2023-08-22,,8.53493398801837
384,Product Launch,Finance,Coding,13,871,Alex White,Completed,2023-03-01,2023-03-01 13:00:00,8.664103472692252
991,Software Development,HR,Initial Contact,2,20,Charlie Doe,Completed,2023-04-28,2023-04-28 02:00:00,6.034902909240316
961,Employee Recruitment,HR,Conduct Interviews,13,182,Bob White,Pending,2023-04-26,,0.0007902868329789925
840,Employee Recruitment,IT,Initial Contact,4,268,Alex Black,Completed,2023-04-24,2023-04-24 04:00:00,4.8101635556036015
751,Invoice Processing,Marketing,Product Design,15,1035,John Black,Pending,2023-01-08,,2.0696121380723054
530,Software Development,IT,Coding,20,940,Alice Green,Pending,2023-03-02,,5.196121834612484
272,Invoice Processing,Marketing,Coding,13,273,John Green,In Progress,2023-03-28,,7.3801295392944475
339,Employee Recruitment,Marketing,Market Research,20,1400,Charlie White,Completed,2023-05-31,2023-05-31 20:00:00,4.979522808246372
314,Customer Onboarding,IT,Requirements Gathering,15,1440,Alice Doe,Pending,2023-02-15,,8.373521847365076
632,Customer Onboarding,HR,Verify Invoice,15,165,Jane Doe,Pending,2023-03-21,,4.157731954250885
243,Invoice Processing,IT,Verify Invoice,4,52,Alice Smith,Completed,2023-10-31,2023-10-31 04:00:00,4.4375900503041095
338,Product Launch,Marketing,Requirements Gathering,12,288,Jane Green,In Progress,2023-08-30,,8.909734136675564
916,Software Development,HR,Requirements Gathering,8,456,Alice Black,Completed,2023-07-12,2023-07-12 08:00:00,7.423302402734151
5,Invoice Processing,Sales,Requirements Gathering,16,720,Charlie White,In Progress,2023-03-24,,4.75708936442641
931,Software Development,Sales,Testing,10,890,Charlie Green,Completed,2023-12-31,2023-12-31 10:00:00,7.61218066156264
478,Software Development,Marketing,Requirements Gathering,18,1422,John Smith,Pending,2023-01-09,,9.630141743002632
857,Product Launch,Finance,Requirements Gathering,9,900,Alice Brown,Pending,2023-02-09,,2.375560309337803
216,Customer Onboarding,Marketing,Coding,3,204,Charlie Doe,Pending,2023-06-24,,9.037359637578056
35,Invoice Processing,IT,Requirements Gathering,8,264,Charlie White,Pending,2023-01-17,,9.449644618141708
671,Employee Recruitment,HR,Screen Candidates,19,589,Bob Black,Completed,2023-10-19,2023-10-19 19:00:00,9.495797430782183
856,Software Development,Finance,Verify Invoice,17,1479,Charlie Brown,Completed,2023-12-27,2023-12-27 17:00:00,4.767180374031259
303,Customer Onboarding,Sales,Product Design,11,308,Alex Green,In Progress,2023-04-29,,5.420352818163402
854,Software Development,Sales,Collect Documents,10,240,Jane Green,Pending,2023-05-14,,4.807462400966425
885,Invoice Processing,Finance,Initial Contact,2,188,Charlie Black,In Progress,2023-12-13,,3.9420319120838245
634,Employee Recruitment,Marketing,Approve Invoice,18,1080,Alice Green,Completed,2023-01-16,2023-01-16 18:00:00,9.158064750038617
852,Software Development,Sales,Market Research,13,338,Jane Black,Completed,2023-09-25,2023-09-25 13:00:00,4.712384576143448
927,Invoice Processing,Finance,Receive Invoice,14,280,Charlie Doe,Completed,2023-05-24,2023-05-24 14:00:00,9.327095818287566
74,Invoice Processing,Sales,Conduct Interviews,19,1368,Jane Green,Completed,2023-10-09,2023-10-09 19:00:00,0.8903817904381006
867,Product Launch,IT,Conduct Interviews,20,1200,Alice Brown,In Progress,2023-12-24,,5.425682933996877
803,Product Launch,Finance,Approve Invoice,8,296,Bob Brown,Pending,2023-03-11,,9.020672419334606
756,Employee Recruitment,HR,Coding,2,98,Bob White,In Progress,2023-06-03,,0.30020136930419494
401,Product Launch,IT,Market Research,8,256,Alice White,Completed,2023-12-18,2023-12-18 08:00:00,8.579033683493005
633,Employee Recruitment,HR,Product Design,5,55,Charlie Smith,In Progress,2023-03-17,,5.231355226907812
609,Customer Onboarding,Finance,Conduct Interviews,15,690,Jane Black,Completed,2023-11-25,2023-11-25 15:00:00,5.562783058841828
